id,Title,Description,Short Description,Price,Images,Variant1,Variant2,Variant3,Category,SubCategory,Tags
ReckewegValPks_031,Dr. Reckeweg R4 Diarrhoea drops (22 ml each),,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/s-l500_4b0f63a5-940f-40ea-8674-d6ec3aa9ee32.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_032,Dr. Reckeweg R40 for treatment of Diabetes,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/365-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_033,Dr. Reckeweg R41   Sexual Neurasthenia drops,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/366-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_034,"Dr. Reckeweg R42 for Venous stasis. Varicosis, Inflammation of the veins",,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/367-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_035,Dr. Reckeweg R43   treatment of asthmatic constitution,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/368-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_036,Dr. Reckeweg R44 drops for Low Blood Pressure,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/369-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_037,Dr. Reckeweg R45 for illnesses of the Larynx and Upper breathing apparatus,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/370-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_038,Dr. Reckeweg R46 for Rheumatism of fore-arms and hands,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/371-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_039,Dr. Reckeweg R47 for all Hysteric Complaints,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/372-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
ReckewegValPks_040,Dr. Reckeweg R48 for Pulmonary Respiratory diseases,,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/373-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,Homeopathy,Dr Reckeweg Tinctures,
