id,Title,Description,Short Description,Price,Images,Variant 1,Variant 2,Variant 3,Category,SubCategory,Tags
Adel_ValPaks_011,Adel Pekana Adel 27 (Inflamyar) (20ml),"INDICATIONS
For treatment of acute and chronic inflammation; sports injuries; sprains; bruises; muscle strains and sciatica.

INGREDIENTS
Arnica Montana 4X, Bellis perennis 4X, Bryonia cretica 4X, Guajacum 6X, Ledum palustre 12X, Ruta graveolens 4X, Rhus toxicodendron 8X, Viscum album 4X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/438-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_012,Adel Pekana Adel 32 (Opsonat) (20ml),"INDICATIONS
Inflammation of whole organism: all mucous membranes; formation of ulcers all over the body and rheumatic inflammations.

INGREDIENTS
Acidum nitricum 6X, Acidum sulfuricum 6X, Gratiola officinalis 6X, Hydrastis Canadensis 6X, Lachesis muta 6X, Bellis perennis 6X, Glechoma hederacea 6X, Sempervivum tectorum 6X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/442-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_013,Adel Pekana Adel 31 (Upelva) (20ml),"INDICATIONS
For painful; irregular; premature/late; heavy/scanty periods; breast swelling and mood swings.

INGREDIENTS
Cyclamen europaeum 6X, Datura stramonium 12X, Delphinium staphysagria 6X, Chamaelirium luteum 6X, Hypericum perforatum 6X, Kalium carbonicum 6X, Xanthoxylum fraxineum 6X, Viburnum opulus 6X.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/441-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_014,Adel-Pekana-Adel-36-(Pollon)-(20ml),For Disturbances of Sexual Function. ,,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/445-1-400.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_015,Adel Pekana Adel 18 (Glucorect) (20ml),"INDICATIONS For treatment of diabetes and promotion of proper regulation of sugar metabolism.
INGREDIENTS Acidum Lacticum 8X, Acidum sulfuricum 4X, Allium cepa 4X, Chionanthus virginica 6X, Phosphorus 12X, Zincum sulfuricum 6X, Stigmata maydis 8X, Syzygium cumini 4X.
 Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/Adel-18.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_016,Adel 22 - RENELIX DROPS 20ml for Kidney Stones,"FOR KIDNEY STONES AND URINARY TRACT INFECTION.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/e1cfhpxas8ke7jgfnut7_ac0f0084-2d44-41d7-bee8-ae9958049ca1.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_017,Adel 38 - APO SPAST DROPS 20ml for Cramps,"FOR FITS (CONVULSIONS) AND CRAMPS.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/mtbshhfwqsa6juzoldqf_6e2e3d52-c637-4c0a-9ebd-79232d729d24.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_018,Adel 51 - PSY STABIL DROPS 20ml for Anxiety,"FOR ANXIETY, LACK OF CONCENTRATION, RESTLESSNESS AND NERVOUS EXHAUSTION.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/ygn1sgvtzpmqvucdbkki_09851386-c29b-4d03-966e-7c160da6d28a.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_019,Adel 56 - HABIFAC DROPSS 20ml for Genetic Predisposition,"FOR TREATMENT IN CASE OF GENETIC PREDISPOSITION AND INFECTIONS OF ALL TYPES.  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/xluvmwitvteywianltmy_7ac2bf51-849a-4889-aa44-ce2716f550e8.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
Adel_ValPaks_020,Adel 2 - APO HAM DROPSS 20ml for Burning/Bleeding Piles,"For Burning/Bleeding Piles (Hemorrhoids).  . 
 The Adel 1-87 series of homeopathic medicines cover most of the general ailments/health conditions from head to toe. Original German homeopathic products manufactured and packed (sealed) in Germany in ultra modern manufacturing facilities  
  Please consult a Physician before purchasing and do not self medicate.",,13.5,https://cdn.shopify.com/s/files/1/1312/2961/products/ozf6fkojw76ptd5hrkqo_fbca1095-c504-46df-b24c-707a8998bebd.jpg,Pack of 2 $25.99,Pack of 3 $33,Pack of 5 $48,adel tinctures,homeopathy,
